,País,Año,Registro,Clasificacion,Clase,Modo_de_acción,Grupo_Químico,I.A.,Marca,Concentración,Grupo_importador,Importador,Aduana,Transporte,País_Origen,País_procedencia,Cantidad,Unidad,CIF_US$,CIF_Q,Precio,Fecha,Mes,Grupo_fabricante/Offshore,Fabricante/Offshore,Timbres,Estado,Documento_Imp.,Cantidad_320,Cantidad_-1
85,6425,2019,26,669,1500,227,109,108,20,87,371,231,1264,3798,1058,972,80000.0,2485,245600.0,1880323.42,3.07,2019-05-07,818,313,311,1218.0,Sólido,1,80000.0,80000.0
86,6425,2019,26,669,1500,227,109,108,20,87,371,231,1264,3798,1058,972,80000.0,2485,245600.0,1879928.01,3.07,2019-05-13,818,313,311,1218.0,Sólido,1,80000.0,80000.0
87,6425,2019,5,669,1500,227,109,108,57,160,371,231,1264,3798,1058,660,43400.0,2485,155372.0,1201410.88,3.58,2019-01-09,695,313,311,1152.0,Sólido,1,43400.0,43400.0
88,6425,2019,5,669,1500,227,109,108,57,160,371,231,1264,3798,1058,660,86800.0,2485,310744.0,2402821.77,3.58,2019-01-09,695,313,311,1270.0,Sólido,1,86800.0,86800.0
89,6425,2019,26,669,1500,227,109,108,57,160,371,231,1264,3798,1058,256,108000.0,2485,379080.0,2931228.52,3.51,2019-01-09,695,313,311,1323.0,Sólido,1,108000.0,108000.0
90,6425,2019,26,669,1500,227,109,108,57,160,371,231,1264,3798,1058,256,36000.0,2485,123480.0,958525.85,3.43,2019-02-05,579,313,311,1089.0,Sólido,1,36000.0,36000.0
91,6425,2019,26,669,1500,227,109,108,57,160,371,231,1264,3798,1058,256,36000.0,2485,123480.0,956705.75,3.43,2019-02-15,579,313,311,1087.0,Sólido,1,36000.0,36000.0
92,6425,2019,26,669,1500,227,109,108,57,160,371,231,1264,3798,1058,256,90000.0,2485,315900.0,2447548.97,3.51,2019-02-15,579,313,311,1275.0,Sólido,1,90000.0,90000.0
93,6425,2019,26,669,1500,227,109,108,57,160,371,231,1264,3798,1058,256,36000.0,2485,123480.0,952476.56,3.43,2019-02-27,579,313,311,1083.0,Sólido,1,36000.0,36000.0
94,6425,2019,26,669,1500,227,109,108,57,160,371,231,1264,3798,1058,256,36000.0,2485,123480.0,947943.61,3.43,2019-03-28,513,313,311,1078.0,Sólido,1,36000.0,36000.0
95,6425,2019,8,669,1500,227,109,108,20,160,63,63,1264,3798,1058,972,22000.0,2485,65560.0,504812.0,2.98,2019-07-12,705,373,69,635.0,Sólido,1,22000.0,22000.0
96,6425,2019,8,669,1500,227,109,108,20,160,63,63,1264,3798,1058,972,23000.0,2485,77510.0,593128.22,3.37,2019-05-07,818,373,69,723.0,Sólido,1,23000.0,23000.0
97,6425,2019,8,669,1500,227,109,108,20,160,63,63,1264,3798,1058,972,23000.0,2485,77510.0,594501.7,3.37,2019-05-23,818,373,69,730.0,Sólido,1,23000.0,23000.0
98,6425,2019,8,669,1500,227,109,108,57,160,63,63,1264,3798,1058,972,20000.0,2485,73400.0,568116.0,3.67,2019-01-29,695,373,69,700.0,Sólido,1,20000.0,20000.0
99,6425,2019,8,669,1500,227,109,108,57,160,63,63,1264,3798,1058,972,18000.0,2485,63540.0,489258.0,3.53,2019-03-25,513,373,69,619.0,Sólido,1,18000.0,18000.0
100,6425,2019,1,5406,1500,227,109,108,3,108,17,9,1264,3798,1058,972,28882.0,3872,93960.16,718241.8,3.253242850218129,2019-07-30,705,2,2,851.0,Líquido,1,28882.0,28882.0
101,6425,2019,1,5406,1500,227,109,108,3,108,669,637,1264,3798,1058,972,17800.0,3872,61410.0,470281.46,3.45,2019-04-10,611,38,8,601.0,Líquido,1,17800.0,17800.0
102,6425,2019,1,5406,1500,227,109,108,1,108,601,504,1264,3798,1058,972,12612.0,3872,40418.16,309706.98,3.204738344433873,2019-07-29,705,476,110,440.0,Líquido,1,12612.0,12612.0
103,6425,2019,26,669,1500,227,109,108,57,160,371,231,2290,3798,1058,256,54000.0,2485,180900.0,1397378.33,3.35,2019-01-25,695,313,311,1170.0,Sólido,1,54000.0,54000.0
104,6425,2019,7,5406,1500,227,109,108,12,12,601,504,2290,3798,702,1192,14400.0,3872,56304.0,434841.99,3.91,2019-01-18,695,476,63,565.0,Líquido,1,14400.0,14400.0
105,6425,2019,5,5406,1500,227,109,108,12,12,601,504,2290,3798,702,1192,14400.0,3872,56304.0,437158.33,3.91,2019-02-01,579,476,63,565.0,Líquido,1,14400.0,14400.0
106,6425,2019,5,5406,1500,227,109,108,12,12,601,504,2290,3798,702,1192,14400.0,3872,56304.0,436063.78,3.91,2019-02-13,579,476,63,567.0,Líquido,1,14400.0,14400.0
107,6425,2019,5,5406,1500,227,109,108,12,12,601,504,2290,3798,702,1192,14400.0,3872,56304.0,434795.25,3.91,2019-02-20,579,476,63,566.0,Líquido,1,14400.0,14400.0
108,6425,2019,5,5406,1500,227,109,108,12,12,601,504,2290,3798,702,1192,14400.0,3872,56304.0,432999.72,3.91,2019-03-21,513,476,63,563.0,Líquido,1,14400.0,14400.0
109,6425,2019,5,5406,1500,227,109,108,12,12,601,504,2290,3798,702,1192,14400.0,3872,56304.0,432369.68,3.91,2019-03-29,513,476,63,562.0,Líquido,1,14400.0,14400.0
110,6425,2018,6,5406,1500,227,9,10,9,10,238,238,1264,3798,1058,972,4800.0,3872,23040.0,170475.49,4.8,2018-04-11,611,373,253,301.0,Líquido,1,4800.0,4800.0
111,6425,2018,6,5406,1500,227,9,10,9,10,238,238,1264,3798,1058,972,5600.0,3872,25760.0,189193.03,4.6,2018-02-05,579,373,253,320.0,Líquido,1,5600.0,5600.0
112,6425,2018,6,5406,1500,227,9,10,9,10,238,238,1264,3798,1058,972,1008.0,3872,4435.2,33191.97,4.3999999999999995,2018-06-18,616,373,253,97.0,Líquido,1,1008.0,1008.0
113,6425,2018,6,5406,1500,227,9,10,9,10,238,238,1264,3798,1058,972,3200.0,3872,13376.0,102926.18,4.18,2018-11-15,291,373,253,233.0,Líquido,1,3200.0,3200.0
114,6425,2018,6,5406,1500,227,9,10,9,10,238,238,1264,3798,1058,972,16000.0,3872,66880.0,514707.14,4.18,2018-11-21,291,373,253,645.0,Líquido,1,16000.0,16000.0
115,6425,2018,3,5406,1500,227,9,10,9,10,20,20,2290,3798,1058,972,1584.0,3872,8632.8,64614.52,5.449999999999999,2018-08-03,592,373,253,159.0,Líquido,1,1584.0,1584.0
